id,description,neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,description_clean,desc_word_count,log_price,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,log_price_norm,geo_cluster
24463,"Comfortable, quiet private guest room, with own private bath, in well-appointed, sunny and stylish, modern townhouse. Convenient for business and vacation travelers. Atop one of the famous San Francisco hills, in the very desirable Potrero Hill neighborhood. Near to terrific restaurants, shops. Great views! Sunniest weather! Easy close-by public transportation & free street parking.",Potrero Hill,37.75675582885742,-122.4001693725586,Private room,2,413,4.91,t,7,245,51,comfortable quiet private guest room with own private bath in wellappointed sunny and stylish modern townhouse convenient for business and vacation travelers atop one of the famous san francisco hills in the very desirable potrero hill neighborhood near to terrific restaurants shops great views sunniest weather easy closeby public transportation  free street parking,53,5.181783550292085,0.5,0.5,0.5,0.3916396941136582,7
24723,"Our one-bedroom basement space comes with a large bedroom with a California king-size bed, a living room with a queen sofa bed, and a full bath and a wet bar with a compact refrigerator/freezer, microwave, mini dishwasher, toaster oven & sink.  We don't recommend the place for four adults (the sofa bed can feel cramped) but it's great for people traveling with young kids.  We live upstairs and try to be quiet but you may hear us.",Pacific Heights,37.78897,-122.43376,Entire home/apt,4,506,4.86,t,11,186,51,our onebedroom basement space comes with a large bedroom with a california kingsize bed a living room with a queen sofa bed and a full bath and a wet bar with a compact refrigeratorfreezer microwave mini dishwasher toaster oven  sink  we dont recommend the place for four adults the sofa bed can feel cramped but its great for people traveling with young kids  we live upstairs and try to be quiet but you may hear us,76,5.438079308923196,0.25,0.25,0.5,0.44695866452587457,3
25094,"Come enjoy a wonderful experience with a native San Franciscan and his Spanish speaking Cuban husband.  Alfredo is the cook, I take out the garbage!  Our mission is to make sure our home is your home while you are visiting our city by the bay.<br /> <br />Located on a quiet one way street in Glen Park bordering Upper Noe Valley, 2 great walkable neighborhoods with easy access to BART and MUNI, 20 minutes from SFO.  <br /><br />Come to our Oasis on Noe!  It will be our pleasure to welcome you!",Glen Park,37.74159,-122.43159,Private room,2,79,4.97,t,13,317,71,come enjoy a wonderful experience with a native san franciscan and his spanish speaking cuban husband  alfredo is the cook i take out the garbage  our mission is to make sure our home is your home while you are visiting our city by the bay   located on a quiet one way street in glen park bordering upper noe valley 2 great walkable neighborhoods with easy access to bart and muni 20 minutes from sfo    come to our oasis on noe  it will be our pleasure to welcome you,88,5.081404364984463,0.5,0.5,1.0,0.36997381399261003,13
32414,"Conveniently located on Cortland Avenue - the heart of Bernal Heights - with easy freeway access to Highways 101 and 280, 15 minutes from San Francisco International Airport, and about 10 minutes from downtown by car.<br /><br /> At the moment, we are only doing monthly rentals.",Bernal Heights,37.74038,-122.41327,Entire home/apt,2,93,4.81,f,0,273,32,conveniently located on cortland avenue  the heart of bernal heights  with easy freeway access to highways 101 and 280 15 minutes from san francisco international airport and about 10 minutes from downtown by car   at the moment we are only doing monthly rentals,43,5.087596335232384,1.0,0.5,1.5,0.3713102911187534,2
33578,"**Please note that the garden is shared! No partying, using the garden as a personal gym, and no pets or unvaccinated guests etc. Your respect of our shared garden space is very much appreciated. <br />The Garden Lookout has a small fridge, microwave, tea kettle and coffee maker. No cooking. No pets.",Potrero Hill,37.76451,-122.39643,Entire home/apt,2,823,4.96,t,15,324,48,please note that the garden is shared no partying using the garden as a personal gym and no pets or unvaccinated guests etc your respect of our shared garden space is very much appreciated  the garden lookout has a small fridge microwave tea kettle and coffee maker no cooking no pets,51,5.886104031450156,0.5,0.5,0.5,0.5436604847268193,7
40092,"Live right around the corner from amazing restaurants, cafes, shopping in one of the most walkable neighborhoods in San Francisco. Wanna play tennis or people watch in the park—take a short stroll to Dolores Park. Want to catch the latest Christopher Nolan movie?—Alamo Draft house is 3 blocks away. Want the best ice cream in SF?—Bi Rite Creamery got you covered. Feel like having top notch Indian, Mexican, Sushi, Ethiopian, Italian, Greek, Burmese, or Salvadoran food?—All of it is walkable :)",Mission,37.7617,-122.41887,Entire home/apt,2,108,4.64,t,5,188,31,live right around the corner from amazing restaurants cafes shopping in one of the most walkable neighborhoods in san francisco wanna play tennis or people watch in the parktake a short stroll to dolores park want to catch the latest christopher nolan moviealamo draft house is 3 blocks away want the best ice cream in sfbi rite creamery got you covered feel like having top notch indian mexican sushi ethiopian italian greek burmese or salvadoran foodall of it is walkable,80,5.081404364984463,0.5,0.5,0.5,0.36997381399261003,9
41055,"Our place is in the heart of the Castro district, the epicenter of Gay culture in San Francisco.  We are close to many restaurants and clubs. <br /><br />The house is historic, built in 1871 by a prominent local family.  It was moved from the street to the back of the property and is quiet and tranquil.  We appreciate that our neighbors all live close by, and keep a quiet house.",Castro/Upper Market,37.76123,-122.43326,Entire home/apt,3,90,4.76,f,0,39,51,our place is in the heart of the castro district the epicenter of gay culture in san francisco  we are close to many restaurants and clubs   the house is historic built in 1871 by a prominent local family  it was moved from the street to the back of the property and is quiet and tranquil  we appreciate that our neighbors all live close by and keep a quiet house,69,4.875197323201151,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.32546601057000185,9
41609,"Extremely spacious, light and modern one bedroom apartment with a dedicated work space in the energetic Nob Hill neighborhood of San Francisco. You are walking distance from Saint Francis Memorial Hospital, Union Square, the Financial District, China Town, SoMa, Civic Center and other major  attractions (and for movie buffs: many film locations from Vertigo and other movies).",Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,2,30,4.97,t,0,195,57,extremely spacious light and modern one bedroom apartment with a dedicated work space in the energetic nob hill neighborhood of san francisco you are walking distance from saint francis memorial hospital union square the financial district china town soma civic center and other major  attractions and for movie buffs many film locations from vertigo and other movies,57,5.187385805840755,0.5,0.5,1.0,0.39284888700313003,4
41730,"Charming Victorian in the Castro/Mission! Our cool & comfortable 4 bedroom apt has a true city vibe! The room fits 1, is located 1 block from Dolores Park, near cafés, restaurants, theaters & access to all major transit lines. Heart of the City!!!",Castro/Upper Market,37.76156,-122.42943,Private room,1,123,4.82,f,0,305,9,charming victorian in the castromission our cool  comfortable 4 bedroom apt has a true city vibe the room fits 1 is located 1 block from dolores park near cafs restaurants theaters  access to all major transit lines heart of the city,41,4.30406509320417,1.0,1.0,1.0,0.20219262086814407,9
46060,,Castro/Upper Market,37.76364,-122.42858,Private room,1,17,4.75,f,30,90,10,,0,4.356708826689592,1.0,1.0,1.0,0.21355526358460117,9
47682,,Pacific Heights,37.79186,-122.42429,Entire home/apt,2,39,4.88,t,24,258,31,,0,4.875197323201151,0.5,0.5,0.5,0.32546601057000185,10
51773,,Pacific Heights,37.79373,-122.42507,Private room,1,167,4.61,t,10,160,18,,0,4.174387269895637,1.0,1.5,1.0,0.17420291199024376,10
54518,Classic San Francisco. Architecture! Live in a sophisticated apartment. Appointed  for corporate and temporary stays. Conveniently located on the corner of Sansome and Pine Streets. Across from The Four Seasons Hotel.<br />This property is licensed and permitted for ILO occupancy with the City of San Francisco.  Beware of non licensed units.  SF Building Department enforcement may be grounds for cancellation or eviction.,Financial District,37.79337,-122.40198,Entire home/apt,2,24,4.52,f,11,327,55,classic san francisco architecture live in a sophisticated apartment appointed  for corporate and temporary stays conveniently located on the corner of sansome and pine streets across from the four seasons hotel this property is licensed and permitted for ilo occupancy with the city of san francisco  beware of non licensed units  sf building department enforcement may be grounds for cancellation or eviction,62,4.90527477843843,0.5,0.5,1.0,0.3319579395243962,4
54634,,Pacific Heights,37.79352,-122.42649,Entire home/apt,2,52,4.74,t,26,176,23,,0,4.852030263919617,0.5,0.5,0.5,0.3204656240096536,10
55632,"Recently Remodeled, new furniture, all new appliances, new washer/dryer, very spacious open plan living room, dining room  and kitchen.<br /><br />The best advertisement is testimonials from previous Guests,<br />We have received all 5 star reviews, 100% of guests would stay again.<br /><br />Location, Location, Location,<br />Four blocks to Golden Gate Park, <br />Five blocks to the Presidio,<br />Close to Ocean Beach and China Beach.<br />Express bus stop right outside the apartment will have you downtown in 20 minutes.",Outer Richmond,37.77927,-122.48432,Entire home/apt,4,13,4.77,t,0,304,58,recently remodeled new furniture all new appliances new washerdryer very spacious open plan living room dining room  and kitchen  the best advertisement is testimonials from previous guests we have received all 5 star reviews 100 of guests would stay again  location location location four blocks to golden gate park  five blocks to the presidio close to ocean beach and china beach express bus stop right outside the apartment will have you downtown in 20 minutes,75,5.135798437050262,0.25,0.25,0.5,0.38171425042932383,15
55636,"Twin Peaks has the best view in the whole city. <br />The best advertisement is testimonials from previous tenants, we have received all 5 star reviews, 100% of tenants would stay again.",Twin Peaks,37.74778,-122.44566,Entire home/apt,4,34,4.81,t,0,260,57,twin peaks has the best view in the whole city  the best advertisement is testimonials from previous tenants we have received all 5 star reviews 100 of tenants would stay again,31,4.787491742782046,0.25,0.25,0.25,0.3065356059698462,21
57561,Private apartment (one bedroom) in the sunny Bernal Heights district of San Francisco. Access to beautiful backyard patio.,Bernal Heights,37.74684,-122.41548,Entire home/apt,2,236,4.65,t,1,306,39,private apartment one bedroom in the sunny bernal heights district of san francisco access to beautiful backyard patio,18,4.844187086458591,0.5,0.5,0.5,0.3187727497138728,20
60101,"Strictly for NON-SMOKERS/Non Vapers.<br /><br />Looking for a place for your family in San Francisco?  Our place is centrally located in Bernal Heights near Cortland St, with amazing street parking near the highways, Muni and 1+ mile walk to BART.  Best of all, you can take a morning hike with great vistas.<br /><br />A TV is available for you to add your own streaming services.<br /><br />A second TV may be used to plug in a laptop (but it's not self-intuitive how to use). We use it do to yoga.",Bernal Heights,37.73482,-122.41559,Entire home/apt,9,27,5.0,t,9,50,36,strictly for nonsmokersnon vapers  looking for a place for your family in san francisco  our place is centrally located in bernal heights near cortland st with amazing street parking near the highways muni and 1 mile walk to bart  best of all you can take a morning hike with great vistas  a tv is available for you to add your own streaming services  a second tv may be used to plug in a laptop but its not selfintuitive how to use we use it do to yoga,87,5.8377304471659395,0.5555555555555556,0.2222222222222222,0.4444444444444444,0.5332195125779083,2
60365,"1890 renovated Victorian,  an authentic San Francisco experience. Centrally located 3 bdms,  2 ba, fully equipped kitchen, laundry, cozy backyard w dining & new BBQ grill. Gorgeous views of downtown from front terrace. Walk to Haight-Ashbury, Golden Gate Park, the Castro, Alamo Square (Painted Ladies), Hayes Valley.  Walk to grocery, cafes & restaurants. Great urban hiking from house. Buses and subway within 2 blocks.  Free parking at the house, see full description for details.",Western Addition,37.77034,-122.43594,Entire home/apt,4,265,4.88,f,0,124,60,1890 renovated victorian  an authentic san francisco experience centrally located 3 bdms  2 ba fully equipped kitchen laundry cozy backyard w dining  new bbq grill gorgeous views of downtown from front terrace walk to haightashbury golden gate park the castro alamo square painted ladies hayes valley  walk to grocery cafes  restaurants great urban hiking from house buses and subway within 2 blocks  free parking at the house see full description for details,72,5.7745515455444085,0.75,0.5,1.0,0.5195829553124088,6
63247,"This is a lovely Mission en-suite bed and bath with private entrance, high ceilings, hardwood floors and lots of sun. Enjoy the landscaped front yard that features a custom stone planter bench with date palm. The space includes a dedicated work space, perfect for remote working! The en-suite bed and bath is cleaned and disinfected thoroughly per CDC guidelines before and after each stay.",Mission,37.74921,-122.41422,Entire home/apt,2,444,4.69,t,0,60,31,this is a lovely mission ensuite bed and bath with private entrance high ceilings hardwood floors and lots of sun enjoy the landscaped front yard that features a custom stone planter bench with date palm the space includes a dedicated work space perfect for remote working the ensuite bed and bath is cleaned and disinfected thoroughly per cdc guidelines before and after each stay,64,5.572154032177765,0.5,0.5,0.5,0.4758974018985082,20
64165,"Beautiful sun filled room with a desk for working. High speed internet. Beautiful new bathroom that belongs to the guest. Your desk has amazing morning sun that you can block with shades or let in to raise your spirit. There is a small refrigerator in the room that you can fill with cold drinks to get your through the day (hydration is everything!) When you need a break for lunch or dinner you can walk less than 100 yards and get amazing Mexican, Italian, vegan, salads or gelato.",Marina,37.80284,-122.42839,Private room,2,79,4.97,t,30,216,45,beautiful sun filled room with a desk for working high speed internet beautiful new bathroom that belongs to the guest your desk has amazing morning sun that you can block with shades or let in to raise your spirit there is a small refrigerator in the room that you can fill with cold drinks to get your through the day hydration is everything when you need a break for lunch or dinner you can walk less than 100 yards and get amazing mexican italian vegan salads or gelato,88,5.043425116919247,0.5,0.5,0.5,0.3617763591801725,3
68239,"Super nice apartments in one of the absolute best locations in SF, close to hundreds of restaurants and top nightlife, yet far enough to be quiet at night. All major tech shuttle stops are close by. You'll also love the rooftop patio & fast internet.",Mission,37.75393,-122.42505,Entire home/apt,2,51,4.83,t,0,141,31,super nice apartments in one of the absolute best locations in sf close to hundreds of restaurants and top nightlife yet far enough to be quiet at night all major tech shuttle stops are close by youll also love the rooftop patio  fast internet,44,5.771441123130016,0.5,0.5,0.5,0.5189116005992824,13
69410,"Our separate, private 500 sqft 1BR apartment with full bath is located on the first floor of a pristine Inner Richmond home (one of the top coolest neighborhoods 2023 in the world by TimeOut). There are beds in both the bedroom and the main room.<br /><br />2025 average rent for 1BR apartments in SF is $3,044. For 14 years on Airbnb, we strive to provide a comfortable, safe, clean and affordable living experience for our guests.<br /><br />Minimum stay is 30+ nights",Inner Richmond,37.77585,-122.46413,Entire home/apt,2,76,4.92,t,0,72,39,our separate private 500 sqft 1br apartment with full bath is located on the first floor of a pristine inner richmond home one of the top coolest neighborhoods 2023 in the world by timeout there are beds in both the bedroom and the main room  2025 average rent for 1br apartments in sf is 3044 for 14 years on airbnb we strive to provide a comfortable safe clean and affordable living experience for our guests  minimum stay is 30 nights,80,4.382026634673881,0.5,0.5,1.0,0.21901986853267183,15
70753,Enjoy staying at our Hostel in the heart of Downtown San Francisco! We offer comfortable rooms and common areas where you can relax and enjoy meeting travelers!,Financial District,37.7937,-122.40417,Shared room,8,457,4.62,t,30,271,25,enjoy staying at our hostel in the heart of downtown san francisco we offer comfortable rooms and common areas where you can relax and enjoy meeting travelers,27,3.7376696182833684,0.125,0.125,1.0,0.07994161411678302,4
71645,"Wake up to the soothing green view from this recently remodeled (mid-2023) studio nestled on a sleepy block in Bernal Heights. A peaceful backyard with a Buddha sculpture and a modernist inspired courtyard sit alongside the bedroom, brand new kitchenette and bathroom. Free street parking (parallel) is available on my block and surrounding streets, not restricted, and typically easily available. Note that the in-law studio shares a common front door and foyer with the main house upstairs.",Bernal Heights,37.74409,-122.40846,Entire home/apt,2,417,4.95,t,3,190,52,wake up to the soothing green view from this recently remodeled mid2023 studio nestled on a sleepy block in bernal heights a peaceful backyard with a buddha sculpture and a modernist inspired courtyard sit alongside the bedroom brand new kitchenette and bathroom free street parking parallel is available on my block and surrounding streets not restricted and typically easily available note that the inlaw studio shares a common front door and foyer with the main house upstairs,77,5.111987788356544,0.5,0.5,0.5,0.3765749512945328,20
72444,Enjoy staying at our Hostel in the heart of Downtown San Francisco! We offer comfortable rooms and common areas where you can relax and enjoy meeting travelers!,Financial District,37.7937,-122.40417,Shared room,8,583,4.73,t,30,271,23,enjoy staying at our hostel in the heart of downtown san francisco we offer comfortable rooms and common areas where you can relax and enjoy meeting travelers,27,3.9512437185814275,0.125,0.125,1.0,0.12603952614742692,4
77175,"Private self-contained studio with queen size bed, kitchenette, couch, smart flat-screen TV, private bathroom (w/ full shower/tub) and partial view of SF bay.  Please note: Airbnb's ""listing types"" do not have a good fit for our studio. ""Entire Place"" best describes our studio because it is the only room on the ground floor of our home and it is private with its own entrance. However, there are shared areas in our listing including our home's front door, basement/office, and backyard.",Glen Park,37.73711,-122.43525,Entire home/apt,2,440,4.89,t,9,142,45,private selfcontained studio with queen size bed kitchenette couch smart flatscreen tv private bathroom w full showertub and partial view of sf bay  please note airbnbs listing types do not have a good fit for our studio entire place best describes our studio because it is the only room on the ground floor of our home and it is private with its own entrance however there are shared areas in our listing including our homes front door basementoffice and backyard,80,4.795790545596741,0.5,0.5,0.5,0.30832682260883754,5
78651,Welcome to our home! You will be living with Seb and I as well as 2 other roommates. We are proud to have been hosting with Airbnb since 2010; we've built a community of current and returning guests.   Minimum stay is 30 days.,Mission,37.75585,-122.42081,Private room,1,92,4.73,f,29,364,15,welcome to our home you will be living with seb and i as well as 2 other roommates we are proud to have been hosting with airbnb since 2010 weve built a community of current and returning guests   minimum stay is 30 days,43,4.454347296253507,2.0,2.0,1.0,0.23462958661573036,9
81158,"Lewhit Cottage is a one bedroom secluded garden apartment in a great location. <br />30 Night Minimum.<br />Off the street on a tiled patio, in a lovely Victorian, behind the rest of the block. Quiet and serene.",Western Addition,37.78408,-122.44436,Entire home/apt,4,39,4.85,t,0,207,44,lewhit cottage is a one bedroom secluded garden apartment in a great location  30 night minimum off the street on a tiled patio in a lovely victorian behind the rest of the block quiet and serene,36,4.418840607796598,0.25,0.25,0.5,0.22696580997473403,24
83257,"Sunny, comfortable room in our safe, inviting & peaceful top floor condo for a non-smoking FEMALE (only) traveler​ who wants to live in a friendly, respectful drug & alcohol-free home. Shared bathroom and kitchen with 2 other covid vaccinated adults, 3 cats, & a dog! Covid vaccine required as we will also be in the home.",Western Addition,37.78353,-122.44369,Private room,1,117,4.86,f,7,342,51,sunny comfortable room in our safe inviting  peaceful top floor condo for a nonsmoking female only traveler who wants to live in a friendly respectful drug  alcoholfree home shared bathroom and kitchen with 2 other covid vaccinated adults 3 cats  a dog covid vaccine required as we will also be in the home,53,4.276666119016055,1.0,1.0,1.0,0.19627881624440485,24
91957,"Centrally located in San Francisco, this sunny and warm 2 bedroom 1.5 bath flat is on the main floor of a three story Edwardian home.  The building was built in 1908 and is one of the original houses in the Cole Valley/Parnassus Heights area.  The flat has been remodeled for a modern interior feel with some period detail left to preserve the beauty of the era in which it was built.",Haight Ashbury,37.76114,-122.44929,Entire home/apt,6,93,4.73,f,30,365,37,centrally located in san francisco this sunny and warm 2 bedroom 15 bath flat is on the main floor of a three story edwardian home  the building was built in 1908 and is one of the original houses in the cole valleyparnassus heights area  the flat has been remodeled for a modern interior feel with some period detail left to preserve the beauty of the era in which it was built,71,5.420534999272286,0.3333333333333333,0.25,0.3333333333333333,0.44317189430515347,21
96383,,Pacific Heights,37.79359,-122.42421,Private room,1,143,4.71,t,1,151,22,,0,4.189654742026425,1.0,1.5,1.0,0.17749824876672174,10
109883,"San Francisco Serenity is a private, separate, quiet 2-room suite, with its own bathroom and private entrance. The bedroom has a queen sized bed and desk, and the front room has a flat screen TV and sofa that converts to a queen that sleeps 2. <br />There is free unrestricted parking on the street in front of the house. <br />Mobility note: Access to the apartment requires walking down two flights of outdoor steps.",West of Twin Peaks,37.73241,-122.46432,Entire home/apt,4,534,4.75,t,14,306,55,san francisco serenity is a private separate quiet 2room suite with its own bathroom and private entrance the bedroom has a queen sized bed and desk and the front room has a flat screen tv and sofa that converts to a queen that sleeps 2  there is free unrestricted parking on the street in front of the house  mobility note access to the apartment requires walking down two flights of outdoor steps,72,4.844187086458591,0.25,0.25,0.5,0.3187727497138728,19
121065,"Charming and completely upgraded light-filled 1891 victorian appt on a tree-lined street nestled between the mission, castro, haight and duboce triangle.",Western Addition,37.77117,-122.43292,Entire home/apt,1,35,4.94,f,0,335,7,charming and completely upgraded lightfilled 1891 victorian appt on a treelined street nestled between the mission castro haight and duboce triangle,21,4.787491742782046,1.0,1.0,1.0,0.3065356059698462,6
132441,Enjoy a quiet getaway in picturesque Bernal Heights - one of San Francisco's safest and sunniest neighborhoods.,Bernal Heights,37.73987,-122.4234,Private room,2,212,4.82,f,10,250,56,enjoy a quiet getaway in picturesque bernal heights  one of san franciscos safest and sunniest neighborhoods,16,4.406719247264253,0.5,0.5,0.5,0.2243495310779392,2
137129,"Beautiful 3BR/2.5BA San Francisco Edwardian Home at the Edge of the Presidio. Our fully remodeled and elegantly furnished home comfortably sleeps 6 guests between the 3 large bedrooms. Late Fall Availability November 27th-Dec 09th, 2024.",Inner Richmond,37.78733057405682,-122.4637141571302,Entire home/apt,6,11,4.91,t,7,63,52,beautiful 3br25ba san francisco edwardian home at the edge of the presidio our fully remodeled and elegantly furnished home comfortably sleeps 6 guests between the 3 large bedrooms late fall availability november 27thdec 09th 2024,35,6.0867747269123065,0.5,0.5,0.5,0.5869733211317606,15
138221,"This charming, quiet and well-appointed apartment is available for your extended stay in San Francisco.  It is  fully private with access to a shared backyard.  It has been recently remodeled with modern fixtures and appliances.  Located in the Lone Mountain neighborhood, near Golden Gate Park, USF, the Inner Richmond, NOPA, and Haight-Ashbury",Inner Richmond,37.77664,-122.45586,Entire home/apt,2,88,4.83,t,0,93,37,this charming quiet and wellappointed apartment is available for your extended stay in san francisco  it is  fully private with access to a shared backyard  it has been recently remodeled with modern fixtures and appliances  located in the lone mountain neighborhood near golden gate park usf the inner richmond nopa and haightashbury,52,4.941642422609304,0.5,0.5,0.5,0.339807545162023,24
